Outlet,Media Type,Type for Color,Address,Latitude,Longitude,City,Notes,State,Approximate Location,Audience: City/region,Audience,Contact,Contact type,URL
Blackbelt Voices,Podcast,Radio/Podcast,"P.O. Box 2093, Conway, AR 72033",35.089701,-92.4392497,"Conway, AR",,Arkansas,yes,U.S. South,Black diaspora,"Adena J. White, yall@blackbeltvoices.com",Founder,https://www.blackbeltvoices.com/
BlackGirlCLE,"Digital, Podcast",Digital,"Cleveland, OH",41.49932,-81.6943605,"Cleveland, OH",,Ohio,yes,Cleveland,Underrepresented Communities,,,https://www.blackgirlincle.com
Blavity,Digital,Digital,"600 Wilshire Blvd, Los Angeles, CA 90017",34.0479718,-118.2565453,"Los Angeles, CA","Network also includes <a href=""https://afrotech.com/"" target=""_blank"">AfroTech</a>, <a href=""https://shadowandact.com/"" target=""_blank"">Shadow and Act</a>, <a href=""https://travelnoire.com/"" target=""_blank"">Travel Noire</a>, <a href=""https://21ninety.com/"" target=""_blank"">21Ninety</a>",California,no,Nationwide,African-American Millenials and Gen-Z,,,https://blavity.com
Bleu Magazine,"Magazine, Digital",Magazine,"26 Broadway, New York, NY 10004",40.7052022,-74.0131655,"New York, NY",,New York,no,Nationwide,African-American,"Devon Johnson, devon@bleulife.com",Publisher,https://bleumag.com/
Bloc By Block News,Newsletter,Digital,"Baltimore, MD",39.28681127,-76.6417849,"Baltimore, MD",,Maryland,yes,Maryland,General,"Kevon Paynter, https://blocbyblocknews.com/contact-us/",Executive Director & Co-Founder,https://blocbyblocknews.com/
Bluff City Post,Newspaper (semimonthly),Newspaper,"719 Franklin St, Natchez, MS 39120",31.5589703,-91.3991483,"Natchez, MS",,Mississippi,no,Natchez,African-American,,,
Bridge Detroit,Digital,Digital,"3434 Chene, PO Box 7046, Detroit, MI 48207",42.3543683,-83.0330963,"Detroit, MI",,Michigan,no,Detroit,General market but all staff Black and Latino,"Stephen Henderson, SHDetroit@bridgedetroit.com",Editor,https://www.bridgedetroit.com/
Brooklyn Afro Times,Newspaper (weekly),Newspaper,"1195 Atlantic Avenue, Brooklyn, NY 11216",40.6788484,-73.9514412,"Brooklyn, NY",,New York,no,Brooklyn,African-American,,,
Brooklyn Vibe,Digital,Digital,"Brooklyn, NY",40.66579907,-73.94946284,"Brooklyn, NY",,New York,yes,Brooklyn,General,"Luciana C., https://brooklynvibe.town.news/about",Founder,https://brooklynvibe.town.news/
Buffalo Criterion,Newspaper (weekly),Newspaper,"623-625 William Street, Buffalo, NY 14206",42.8848762,-78.8482357,"Buffalo, NY",,New York,no,Buffalo,African-American,"Frances Merriweather, criterion@apollo3.com",Publisher,https://www.facebook.com/The-Buffalo-Criterion-Newspaper-105145307688681/
California Advocate,Newspaper (weekly),Newspaper,"1555 E St, Fresno, CA 93706",36.7352911,-119.8024746,"Fresno, CA",,California,no,Fresno/Central Valley,African-American,"Mark Kimber, newsroom@caladvocate.com",Publisher,https://thecaladvocate.com/
Call and Post,Newspaper (weekly),Newspaper,"11800 Shaker Blvd, Cleveland, OH 44120",41.483652,-81.6007226,"Cleveland, OH",,Ohio,no,Cleveland,African-American,,,https://www.callandpost.com/
Capital B,Digital,Digital,"Atlanta, GA",33.7489954,-84.3879824,"Atlanta, GA",,Georgia,yes,Atlanta,Black,"Lauren Williams & Akoto Ofori-Atta, info@capitalbnews.org",Cofounders,https://capitalbnews.org
Capital Outlook,Newspaper (weekly),Newspaper,"1363 E Tennessee St, Tallahassee, FL 32308",30.4481144,-84.2604118,"Tallahassee, FL",,Florida,no,Tallahassee,African-American,"St. Clair Murraine, info@capitaloutlook.com",marketing director,http://capitaloutlook.com/site/
Carib Press,Newspaper (monthly),Newspaper,"8549 Wilshire Blvd, Beverly Hills, CA 90211",34.0658433,-118.3777558,"Beverly Hills, CA",,California,no,Southern California,Caribbean,"Lyndon A. Johnson, info@caribpress.com",Publisher,http://www.caribpress.com/
Caribbean American Weekly,Newspaper,Newspaper,"New York, NY",40.69346367,-73.99090879,"New York, NY",,New York,yes,New York City,"Caribbean-American, Hispanic, African-American, Christian, business and immigrant communities","Pearl Phillip, 1-718-771-0988, info@myiqinc.com",Managing Editor & Editor-In-Chief,https://caribbeanamericanweekly.com/
Caribbean Life,Newspaper (twice monthly),Newspaper,"One Metrotech Center North, Brooklyn, NY 11201",40.6932688,-73.9871006,"Brooklyn, NY",,New York,no,Greater New York,Caribbean,"Cliff Luster, cluster@schnepsmedia.com",Publisher,https://www.caribbeanlifenews.com/
Caribbean Times,Newspaper (twice monthly),Newspaper,"P.O. Box 100470, Brooklyn, NY 11210",40.6263433,-73.9404589,"Brooklyn, NY",,New York,yes,"Brooklyn, Queens, Manhattan, Bronx",Caribbean,"Michael Babwar, mike@caribbeantimesnews.com",Publisher,https://caribbeantimesnyc.com/
Carolina Panorama,Newspaper (weekly),Newspaper,"P.O. Box 11205, Columbia, SC 29211-1205",34.0007104,-81.0348144,"Columbia, SC",,South Carolina,yes,Columbia,African-American,,,https://www.carolinapanorama.com/
Carolina Peacemaker,Newspaper (weekly),Newspaper,"807 Summit Avenue, Greensboro, NC 27405",36.0828015,-79.7783826,"Greensboro, NC",,North Carolina,no,Greensboro,African-American,"John Marshall Kilimanjaro, ads@carolinapeacemaker.com",Publisher,http://www.peacemakeronline.com/
Carter Broadcast Group (KPRS/KPRT),Radio,Radio/Podcast,"11131 Colorado Ave, Kansas City, MO 64137",38.9223173,-94.5297711,"Kansas City, MO",,Missouri,no,Kansas City,African-American,,,https://www.kprs.com/
Carvd N Stone,Digital,Digital,"P.O. Box 18031, Milwaukee, WI 53218",43.1029297,-87.9932959,"Milwaukee, WI",,Wisconsin,yes,Milwaukee; Los Angeles; Baton Rouge; Nationwide,"African American, Black diaspora; multicultural","Nyesha Stone, CNS@carvdnstone.com, 414-628-0603
",Founder,https://www.carvdnstone.com/
CashColorCannabis,"Digital, Podcast",Digital,N/A,33.849145,-84.3620913,,,Nationwide,yes,Nationwide,African-American,"Mehka King, 
mehka@invisiblemanmedia.com",Founder,https://www.cashcolorcannabis.com/
Central Valley Voice,Newspaper (monthly),Newspaper,"1444 Fulton St, Fresno, CA 93721-1610",36.7388788,-119.7952114,"Fresno, CA",,California,no,Central Valley,African-American and Latino,"Felicia Roberts, centralvalleyvoice@yahoo.com",Publisher,https://centralvalleyvoice.com/
Challenger Community News,Newspaper (weekly),Newspaper,"1337 Jefferson Ave, Buffalo, NY 14208",42.9115359,-78.8536668,"Buffalo, NY",,New York,no,Buffalo,African-American,"Alnisa Banks, advertising@thechallengernews.com",Editor,https://thechallengernews.com/
Chattanooga Courier,Newspaper (weekly),Newspaper,"6050 Shallowford Rd, Chattanooga, TN 37422",35.0520933,-85.1863279,"Chattanooga, TN",,Tennessee,no,Chattanooga,African-American,,,https://www.pridepublishinggroup.com/pride/
Chattanooga News Chronicle,Newspaper (weekly),Newspaper,"611 E M L King Blvd, Chattanooga, TN 37403",35.043297,-85.301039,"Chattanooga, TN",,Tennessee,no,Chattanooga,African-American,,,https://chattnewschronicle.com/
Chicago Crusader,Newspaper (weekly),Newspaper,"6429 S King Dr, Chicago, IL 60637",41.7775393,-87.6152903,"Chicago, IL",,Illinois,no,Chicago,African-American,"Dorothy Leavell, news@chicagocrusader.com",Publisher,https://chicagocrusader.com/
Chicago Defender,Newspaper (weekly),Newspaper,"4445 S King Dr, Chicago, IL 60653",41.8136045,-87.6159833,"Chicago, IL",,Illinois,no,Chicago,African-American,"Dyanna Knight Lewis, editorial@chicagodefender.com",Regional VP,https://chicagodefender.com/
Chicago News Weekly,"Newspaper, Digital",Newspaper,"8348 S Stony Island Avenue, Chicago, IL 60617",41.7427399,-87.5860967,"Chicago, IL",,Illinois,no,Chicago,Black Community,"Cheryl Maynard, advertising@cnwmedia.com, (773) 236-1464",Publisher,https://www.cnwmedia.com/
Clarksville Press,Newspaper (weekly),Newspaper,"2277-C Wilma Rudolph Blvd #268, Clarksville, TN 37040",36.5704407,-87.303346,"Clarksville, TN",,Tennessee,no,Clarksville,African-American,,,https://www.pridepublishinggroup.com/pride/
CNY Vision,Newspaper (weekly),Newspaper,"331 Hollenbeck St, Rochester, NY 14621",43.1847205,-77.6169756,"Rochester, NY",,New York,no,Syracuse,African-American,,,http://cnyvision.com/
Color of Wellness,"Digital, Magazine",Magazine,"Tampa, FL",27.97136958,-82.42751111,"Tampa, FL",,Florida,yes,National,Communities of Color,"Michelle Greene Rhodes, assistant.michellerhodes@gmail.com",Editor-in-Chief,http://www.colorofwellness.co/
Compton Bulletin,Newspaper (weekly),Newspaper,"800 E Compton Blvd E, Rancho Dominguez, CA 90221",33.8957816,-118.2145815,"Rancho Dominguez, CA",,California,no,Compton,Multicultural,news@thecomptonbulletin.com,General inbox,https://www.thebulletinweekly.com/
Compton Herald,Digital,Digital,"Compton, CA",33.8899694,-118.2167519,"Compton, CA",,California,yes,Compton,African-American,"Jarrette Fellows, thecomptonherald@gmail.com",Manager,https://www.comptonherald.org/
Context Media Group,Video (online),Digital,"Atlanta, GA",33.75938767,-84.3755177,"Atlanta, GA",,Georgia,yes,National,Underrepresented Communities,,,https://contextmediagroup.com/
Converge Media,Digital,Digital,"80 S Washington St Suite 203, Seattle, WA 98104",47.6010176,-122.3349254,"Seattle, WA",,Washington,no,Seattle/PNW,African American,Info@Africatown.Media.com,,https://www.whereweconverge.com/
CORE Magazine,"Digital, Magazine (quarterly)",Magazine,"P.O. Box 16751, Sugar Land, TX 77496",29.60183062,-95.62282142,"Sugar Land, TX",,Texas,yes,National,"Corporate executives, Professional athletes, Sports fans","Bo Porter, 832-799-3564, bo@boporterenterprise.com",Founding President & Chief Executive Officer,https://core-mag.com
CRWNMAG,Magazine,Magazine,N/A,40.7441144,-73.9932069,,,New York,yes,Nationwide,Black Women,build@crwnmag.com,,https://www.crwnmag.com/
CultureBanx,Digital,Digital,"Brooklyn, NY",40.6654889,-73.892418,"Brooklyn, NY",,Nationwide,yes,Nationwide,African-American,info@culturebanx.com,General inbox,https://www.culturebanx.com/
Cup of Soul Show,Digital,Digital,"Philadelphia, PA",39.952,-75.165,"Philadelphia, PA",,Pennsylvania,yes,Nationwide,BIPOC,Kathia Woods,Founder,https://www.cupofsoulshow.com
Dallas Examiner,Newspaper (weekly),Newspaper,"4510 S. Malcolm X Blvd., Dallas, TX 75215",32.7570462,-96.7538061,"Dallas, TX",,Texas,no,Dallas,African-American,"Mollie Finch Belt, mbelt@dallasexaminer.com",Publisher,https://dallasexaminer.com/
Dallas Post Tribune,Newspaper (weekly),Newspaper,"2726 S Beckley Ave, Dallas, TX 75224",32.714181,-96.8226646,"Dallas, TX",,Texas,no,Dallas,African-American,,,https://dallasposttrib.com/
Data News Weekly,Newspaper (weekly),Newspaper,"3501 Napoleon Ave, New Orleans, LA 70125",29.9451233,-90.1035434,"New Orleans, LA",,Louisiana,no,New Orleans,African-American,"Terry B. Jones, datanewsad@bellsouth.net",Publisher,https://ladatanews.com/
Davidson Local,Digital,Digital,"Davidson County, NC",35.85098448,-80.15892044,Davidson County (NC),,North Carolina,yes,"Davidson County, NC",General,"Antionette Kerr, https://www.davidsonlocal.com/advertise-contact-us",CEO,https://www.davidsonlocal.com/
Davis Broadcasting Co. (WOKS/WFXE/WKZJ/WEAM/WIOL),Radio,Radio/Podcast,"2203 Wynnton Rd, Columbus, GA 31906",32.4701497,-84.9598896,"Columbus, GA",,Georgia,no,Columbus,African-American,,,http://www.dbiradio.com/
Daytona Times,Newspaper (weekly),Newspaper,"P.O. Box 48857, Tampa, FL 33646",27.950575,-82.4571776,"Tampa, FL",,Florida,yes,Daytona Beach,African-American,"Julia T. Cherry, sales@daytonatimes.com",Senior managing member,http://daytonatimes.com/
Deem Journal,Magazine,Magazine,N/A,,,,,Nationwide,NA,Nationwide,BIPOC,hello@deemjournal.com,General inbox,https://www.deemjournal.com/
Delawareblack.com,Digital,Digital,"Wilmington, DE",39.7479029,-75.5521224,"Wilmington, DE",,Delaware,yes,State of Delaware,African-American,"Leonard Young, info@delawareblack.com",Founder,https://delawareblack.com/
Denver Urban Spectrum,Newspaper (monthly),Newspaper,"738 Peoria St Unit 31001, Aurora, CO 80041",39.7274468,-104.8462103,"Aurora, CO",,Colorado,no,Denver,Multicultural,"Bee Harris, publisher@urbanspectrum.net",Publisher,http://denverurbanspectrum.com/
Denver Weekly News,Newspaper (weekly),Newspaper,"P.O. Box 5008, Denver, CO 80217-5008",39.790486,-104.9000469,"Denver, CO",,Colorado,yes,Denver,African-American,dwnews2@yahoo.com,General inbox,https://www.facebook.com/DenverWeeklyNews/
Durham Skywriter/TV Skywriter,Digital,Digital,"1910 Capps St, Durham, NC 27707",35.9644184,-78.8839749,"Durham, NC",,North Carolina,no,"Durham, NC (newspaper); worldwide (interview program)",multicultural,"Patricia A Murray, durhamskywriter@gmail.com, 919-809-9682",Publisher/Host,https://www.durhamskywriter.com/
East Side Daily News,Newspaper (every three days),Newspaper,"11400 Woodland Ave, Cleveland, OH 44104",41.488257,-81.6055831,"Cleveland, OH",,Ohio,no,East side of Cleveland,African-American,,,https://www.eastsidedailynews.com/
Ebony,Magazine,Magazine,"3309 Collins Lane, Louisville, KY 40245",38.2912879,-85.5162159,"Louisville, KY",,Kentucky,no,Nationwide,African-American Women,"312-322-9200, info@ebony.com",,https://www.ebony.com
Eclectically Black News,Digital,Digital,"New York, NY",40.82049349,-73.95092286,"New York, NY",,New York,yes,Nationwide,Black diaspora,,,http://gloria-dulan-wilson.blogspot.com/
Electronic Urban Report,Digital,Digital,"PO Box 412081, Los Angeles, CA 90041",34.13847254,-118.1877325,"Los Angeles, CA",,California,yes,National,Black communities,"Lee Bailey, 323-254-9599",Founder,https://eurweb.com
Elevate Dayton,Digital,Digital,"Dayton, OH",39.75557545,-84.20645737,"Dayton, OH",,Ohio,yes,"Dayton, Ohio",BIPOC & other unheard communities,"Nate Dillard, contact@elevatedayton.com",Co-founder & Publisher,https://elevatedayton.com/
ENODI,"Podcast, Digital",Radio/Podcast,N/A,40.651597,-73.9575654,,,Nationwide,yes,Nationwide,Immigrants,"Jamie Mensah, jamie@mjrain.com",,https://www.enodi.co
Ernestly Speaking,Podcast,Radio/Podcast,"Philadelphia, PA",39.9525839,-75.1652215,"Philadelphia, PA",,Pennsylvania,yes,Nationwide,General,Ernest Owens,Host,https://soundcloud.com/mrernestowens
Essence,Magazine,Magazine,"34 35th Street, Suite 5A, Brooklyn, NY 11232",40.6572165,-74.0080699,"Brooklyn, NY",,New York,no,Nationwide,African-American Women,,,https://www.essence.com
Ethiopian Community Media Association,TV program,TV,"655 South Orcas St. Bldg O, #203, Seattle, WA 98109",47.5513128,-122.3257445,"Seattle, WA",,Washington,no,Seattle,Ethiopian,info@ecseattle.org,,https://www.ecseattle.org/
Ethiopian Observer,Digital,Digital,"17829 Wayne Avenue N, Seattle, WA 98133",47.7586619,-122.3359785,"Seattle, WA",,Washington,no,Seattle,Ethiopian,ethiopians@ethioobserver.net,,http://www.ethioobserver.net/
Everybody's Caribbean,Magazine (9 issues annually),Magazine,"1630 Nostrand Ave., Brooklyn, NY 11226",40.6462645,-73.9493571,"Brooklyn, NY",,New York,no,Greater New York,Caribbean,"Herman Hall, editor@everybodysmag.com",Editor,https://everybodysmag.com/
Exposure Magazine,Magazine,Magazine,"606 East Juneau Avenue #511803 Milwaukee, WI 53203",43.0460419,-87.9042104,"Milwaukee, WI","Also at location: <a href=""https://www.exposureplustv.tv"" target=""_blank"">Exposure Plus TV</a>",Wisconsin,no,Milwaukee,African-American,TAM LAWRENCE TL@RLASSC.COM (704) 780-8648,PUBLISHER,http://www.exposure-magazine.com
